wikiquote_page	title	author	era	region
The Hitchhiker's Guide to the Galaxy	The Hitchhiker's Guide to the Galaxy	Douglas Adams	20c	British
The Restaurant at the End of the Universe	The Restaurant at the End of the Universe	Douglas Adams	20c	British
American Gods	American Gods	Neil Gaiman	21c	British
Coraline	Coraline	Neil Gaiman	21c	British
Ulysses (novel)	Ulysses	James Joyce	20c	Irish
A Portrait of the Artist as a Young Man	A Portrait of the Artist as a Young Man	James Joyce	20c	Irish
Dubliners	Dubliners	James Joyce	20c	Irish
Waiting for Godot	Waiting for Godot	Samuel Beckett	20c	Irish
Moby-Dick	Moby-Dick	Herman Melville	19c	American
The Adventures of Huckleberry Finn	The Adventures of Huckleberry Finn	Mark Twain	19c	American
The Adventures of Tom Sawyer	The Adventures of Tom Sawyer	Mark Twain	19c	American
The Scarlet Letter	The Scarlet Letter	Nathaniel Hawthorne	19c	American
Walden	Walden	Henry David Thoreau	19c	American
Little Women	Little Women	Louisa May Alcott	19c	American
The Great Gatsby	The Great Gatsby	F. Scott Fitzgerald	20c	American
Tender Is the Night	Tender Is the Night	F. Scott Fitzgerald	20c	American
The Sun Also Rises	The Sun Also Rises	Ernest Hemingway	20c	American
The Old Man and the Sea	The Old Man and the Sea	Ernest Hemingway	20c	American
A Farewell to Arms	A Farewell to Arms	Ernest Hemingway	20c	American
For Whom the Bell Tolls	For Whom the Bell Tolls	Ernest Hemingway	20c	American
The Grapes of Wrath	The Grapes of Wrath	John Steinbeck	20c	American
Of Mice and Men	Of Mice and Men	John Steinbeck	20c	American
East of Eden (novel)	East of Eden	John Steinbeck	20c	American
The Sound and the Fury	The Sound and the Fury	William Faulkner	20c	American
As I Lay Dying	As I Lay Dying	William Faulkner	20c	American
To Kill a Mockingbird	To Kill a Mockingbird	Harper Lee	20c	American
The Catcher in the Rye	The Catcher in the Rye	J. D. Salinger	20c	American
Fahrenheit 451	Fahrenheit 451	Ray Bradbury	20c	American
The Martian Chronicles	The Martian Chronicles	Ray Bradbury	20c	American
Slaughterhouse-Five	Slaughterhouse-Five	Kurt Vonnegut	20c	American
Cat's Cradle	Cat's Cradle	Kurt Vonnegut	20c	American
Breakfast of Champions	Breakfast of Champions	Kurt Vonnegut	20c	American
Catch-22	Catch-22	Joseph Heller	20c	American
On the Road	On the Road	Jack Kerouac	20c	American
Invisible Man	Invisible Man	Ralph Ellison	20c	American
Beloved (novel)	Beloved	Toni Morrison	20c	American
Song of Solomon (novel)	Song of Solomon	Toni Morrison	20c	American
The Bluest Eye	The Bluest Eye	Toni Morrison	20c	American
Their Eyes Were Watching God	Their Eyes Were Watching God	Zora Neale Hurston	20c	American
The Color Purple	The Color Purple	Alice Walker	20c	American
The Bell Jar	The Bell Jar	Sylvia Plath	20c	American
Lolita	Lolita	Vladimir Nabokov	20c	American
Pale Fire	Pale Fire	Vladimir Nabokov	20c	American
The Road	The Road	Cormac McCarthy	21c	American
Blood Meridian	Blood Meridian	Cormac McCarthy	20c	American
Dune (novel)	Dune	Frank Herbert	20c	American
Stranger in a Strange Land	Stranger in a Strange Land	Robert A. Heinlein	20c	American
Foundation (Asimov novel)	Foundation	Isaac Asimov	20c	American
I, Robot	I, Robot	Isaac Asimov	20c	American
Do Androids Dream of Electric Sheep?	Do Androids Dream of Electric Sheep?	Philip K. Dick	20c	American
The Man in the High Castle	The Man in the High Castle	Philip K. Dick	20c	American
The Left Hand of Darkness	The Left Hand of Darkness	Ursula K. Le Guin	20c	American
A Wizard of Earthsea	A Wizard of Earthsea	Ursula K. Le Guin	20c	American
The Dispossessed	The Dispossessed	Ursula K. Le Guin	20c	American
Neuromancer	Neuromancer	William Gibson	20c	American
Snow Crash	Snow Crash	Neal Stephenson	20c	American
Ender's Game	Ender's Game	Orson Scott Card	20c	American
A Game of Thrones	A Game of Thrones	George R. R. Martin	20c	American
The Stand	The Stand	Stephen King	20c	American
It (novel)	It	Stephen King	20c	American
The Shining (novel)	The Shining	Stephen King	20c	American
11/22/63	11/22/63	Stephen King	21c	American
Fight Club (novel)	Fight Club	Chuck Palahniuk	20c	American
The Kite Runner	The Kite Runner	Khaled Hosseini	21c	American
The Book Thief	The Book Thief	Markus Zusak	21c	Australian
Life of Pi	Life of Pi	Yann Martel	21c	Canadian
The Handmaid's Tale	The Handmaid's Tale	Margaret Atwood	20c	Canadian
Oryx and Crake	Oryx and Crake	Margaret Atwood	21c	Canadian
The Blind Assassin	The Blind Assassin	Margaret Atwood	21c	Canadian
Anne of Green Gables	Anne of Green Gables	L. M. Montgomery	20c	Canadian
The English Patient	The English Patient	Michael Ondaatje	20c	Canadian
Things Fall Apart	Things Fall Apart	Chinua Achebe	20c	Nigerian
Half of a Yellow Sun	Half of a Yellow Sun	Chimamanda Ngozi Adichie	21c	Nigerian
Americanah	Americanah	Chimamanda Ngozi Adichie	21c	Nigerian
Disgrace	Disgrace	J. M. Coetzee	20c	South African
Cry, the Beloved Country	Cry, the Beloved Country	Alan Paton	20c	South African
One Hundred Years of Solitude	One Hundred Years of Solitude	Gabriel García Márquez	20c	Colombian
Love in the Time of Cholera	Love in the Time of Cholera	Gabriel García Márquez	20c	Colombian
The House of the Spirits	The House of the Spirits	Isabel Allende	20c	Chilean
Pedro Páramo	Pedro Páramo	Juan Rulfo	20c	Mexican
The Alchemist (novel)	The Alchemist	Paulo Coelho	20c	Brazilian
Don Quixote	Don Quixote	Miguel de Cervantes	17c	Spanish
The Shadow of the Wind	The Shadow of the Wind	Carlos Ruiz Zafón	21c	Spanish
Crime and Punishment	Crime and Punishment	Fyodor Dostoevsky	19c	Russian
The Brothers Karamazov	The Brothers Karamazov	Fyodor Dostoevsky	19c	Russian
The Idiot	The Idiot	Fyodor Dostoevsky	19c	Russian
Notes from Underground	Notes from Underground	Fyodor Dostoevsky	19c	Russian
War and Peace	War and Peace	Leo Tolstoy	19c	Russian
Anna Karenina	Anna Karenina	Leo Tolstoy	19c	Russian
Fathers and Sons (novel)	Fathers and Sons	Ivan Turgenev	19c	Russian
Dead Souls	Dead Souls	Nikolai Gogol	19c	Russian
The Master and Margarita	The Master and Margarita	Mikhail Bulgakov	20c	Russian
Doctor Zhivago (novel)	Doctor Zhivago	Boris Pasternak	20c	Russian
One Day in the Life of Ivan Denisovich	One Day in the Life of Ivan Denisovich	Aleksandr Solzhenitsyn	20c	Russian
Lolita (novel)	Lolita	Vladimir Nabokov	20c	Russian
Madame Bovary	Madame Bovary	Gustave Flaubert	19c	French
Les Misérables	Les Misérables	Victor Hugo	19c	French
The Hunchback of Notre-Dame	The Hunchback of Notre-Dame	Victor Hugo	19c	French
The Count of Monte Cristo	The Count of Monte Cristo	Alexandre Dumas	19c	French
The Three Musketeers	The Three Musketeers	Alexandre Dumas	19c	French
The Little Prince	The Little Prince	Antoine de Saint-Exupéry	20c	French
Wind, Sand and Stars	Wind, Sand and Stars	Antoine de Saint-Exupéry	20c	French
The Stranger (novel)	The Stranger	Albert Camus	20c	French
The Plague	The Plague	Albert Camus	20c	French
In Search of Lost Time	In Search of Lost Time	Marcel Proust	20c	French
Candide	Candide	Voltaire	18c	French
Twenty Thousand Leagues Under the Sea	Twenty Thousand Leagues Under the Sea	Jules Verne	19c	French
Around the World in Eighty Days	Around the World in Eighty Days	Jules Verne	19c	French
The Metamorphosis	The Metamorphosis	Franz Kafka	20c	Czech
The Trial	The Trial	Franz Kafka	20c	Czech
The Unbearable Lightness of Being	The Unbearable Lightness of Being	Milan Kundera	20c	Czech
Faust (Goethe)	Faust	Johann Wolfgang von Goethe	18c	German
The Sorrows of Young Werther	The Sorrows of Young Werther	Johann Wolfgang von Goethe	18c	German
Siddhartha (novel)	Siddhartha	Hermann Hesse	20c	German
Steppenwolf (novel)	Steppenwolf	Hermann Hesse	20c	German
The Glass Bead Game	The Glass Bead Game	Hermann Hesse	20c	German
The Magic Mountain	The Magic Mountain	Thomas Mann	20c	German
All Quiet on the Western Front	All Quiet on the Western Front	Erich Maria Remarque	20c	German
The Tin Drum	The Tin Drum	Günter Grass	20c	German
The Neverending Story	The Neverending Story	Michael Ende	20c	German
The Diary of a Young Girl	The Diary of a Young Girl	Anne Frank	20c	Dutch
The Name of the Rose	The Name of the Rose	Umberto Eco	20c	Italian
If This Is a Man	If This Is a Man	Primo Levi	20c	Italian
The Leopard	The Leopard	Giuseppe Tomasi di Lampedusa	20c	Italian
Invisible Cities	Invisible Cities	Italo Calvino	20c	Italian
The Divine Comedy	The Divine Comedy	Dante Alighieri	14c	Italian
Norwegian Wood (novel)	Norwegian Wood	Haruki Murakami	20c	Japanese
Kafka on the Shore	Kafka on the Shore	Haruki Murakami	21c	Japanese
The Wind-Up Bird Chronicle	The Wind-Up Bird Chronicle	Haruki Murakami	20c	Japanese
The Tale of Genji	The Tale of Genji	Murasaki Shikibu	11c	Japanese
Snow Country	Snow Country	Yasunari Kawabata	20c	Japanese
The Book of Tea	The Book of Tea	Okakura Kakuzō	20c	Japanese
Midnight's Children	Midnight's Children	Salman Rushdie	20c	Indian
The God of Small Things	The God of Small Things	Arundhati Roy	20c	Indian
A Suitable Boy	A Suitable Boy	Vikram Seth	20c	Indian
The White Tiger	The White Tiger	Aravind Adiga	21c	Indian
The Prophet (book)	The Prophet	Kahlil Gibran	20c	Lebanese
The Alchemist	The Alchemist	Paulo Coelho	20c	Brazilian
Zorba the Greek	Zorba the Greek	Nikos Kazantzakis	20c	Greek
The Odyssey	The Odyssey	Homer	8c BC	Greek
The Iliad	The Iliad	Homer	8c BC	Greek
Meditations	Meditations	Marcus Aurelius	2c	Roman
The Art of War	The Art of War	Sun Tzu	5c BC	Chinese
Tao Te Ching	Tao Te Ching	Laozi	6c BC	Chinese
Hamlet	Hamlet	William Shakespeare	17c	British
Macbeth	Macbeth	William Shakespeare	17c	British
King Lear	King Lear	William Shakespeare	17c	British
The Tempest	The Tempest	William Shakespeare	17c	British
Romeo and Juliet	Romeo and Juliet	William Shakespeare	16c	British
Twelfth Night	Twelfth Night	William Shakespeare	17c	British
Paradise Lost	Paradise Lost	John Milton	17c	British
The Canterbury Tales	The Canterbury Tales	Geoffrey Chaucer	14c	British
Beowulf	Beowulf	Anonymous	10c	Anglo-Saxon
Leaves of Grass	Leaves of Grass	Walt Whitman	19c	American
A Streetcar Named Desire	A Streetcar Named Desire	Tennessee Williams	20c	American
Death of a Salesman	Death of a Salesman	Arthur Miller	20c	American
Long Day's Journey into Night	Long Day's Journey into Night	Eugene O'Neill	20c	American
Fences (play)	Fences	August Wilson	20c	American
Pygmalion (play)	Pygmalion	George Bernard Shaw	20c	Irish
Man and Superman	Man and Superman	George Bernard Shaw	20c	Irish
A Doll's House	A Doll's House	Henrik Ibsen	19c	Norwegian
Peer Gynt	Peer Gynt	Henrik Ibsen	19c	Norwegian
The Seagull	The Seagull	Anton Chekhov	19c	Russian
The Cherry Orchard	The Cherry Orchard	Anton Chekhov	20c	Russian
Uncle Vanya	Uncle Vanya	Anton Chekhov	19c	Russian
The Age of Innocence	The Age of Innocence	Edith Wharton	20c	American
The House of Mirth	The House of Mirth	Edith Wharton	20c	American
The Portrait of a Lady	The Portrait of a Lady	Henry James	19c	American
The Turn of the Screw	The Turn of the Screw	Henry James	19c	American
Gone with the Wind (novel)	Gone with the Wind	Margaret Mitchell	20c	American
Rebecca of Sunnybrook Farm	Rebecca of Sunnybrook Farm	Kate Douglas Wiggin	20c	American
The Secret Garden	The Secret Garden	Frances Hodgson Burnett	20c	British
Black Beauty	Black Beauty	Anna Sewell	19c	British
The Time Machine	The Time Machine	H. G. Wells	19c	British
The War of the Worlds	The War of the Worlds	H. G. Wells	19c	British
The Invisible Man	The Invisible Man	H. G. Wells	19c	British
A Study in Scarlet	A Study in Scarlet	Arthur Conan Doyle	19c	Scottish
The Hound of the Baskervilles	The Hound of the Baskervilles	Arthur Conan Doyle	20c	Scottish
The Adventures of Sherlock Holmes	The Adventures of Sherlock Holmes	Arthur Conan Doyle	19c	Scottish
Murder on the Orient Express	Murder on the Orient Express	Agatha Christie	20c	British
And Then There Were None	And Then There Were None	Agatha Christie	20c	British
The Maltese Falcon (novel)	The Maltese Falcon	Dashiell Hammett	20c	American
The Big Sleep	The Big Sleep	Raymond Chandler	20c	American
The Long Goodbye (novel)	The Long Goodbye	Raymond Chandler	20c	American
Zen and the Art of Motorcycle Maintenance	Zen and the Art of Motorcycle Maintenance	Robert M. Pirsig	20c	American
A Confederacy of Dunces	A Confederacy of Dunces	John Kennedy Toole	20c	American
Franny and Zooey	Franny and Zooey	J. D. Salinger	20c	American
The Perks of Being a Wallflower	The Perks of Being a Wallflower	Stephen Chbosky	20c	American
The Fault in Our Stars	The Fault in Our Stars	John Green	21c	American
Looking for Alaska	Looking for Alaska	John Green	21c	American
The Hunger Games	The Hunger Games	Suzanne Collins	21c	American
The Giver	The Giver	Lois Lowry	20c	American
Bridge to Terabithia	Bridge to Terabithia	Katherine Paterson	20c	American
A Wrinkle in Time	A Wrinkle in Time	Madeleine L'Engle	20c	American
Charlotte's Web	Charlotte's Web	E. B. White	20c	American
The Phantom Tollbooth	The Phantom Tollbooth	Norton Juster	20c	American
Where the Wild Things Are	Where the Wild Things Are	Maurice Sendak	20c	American
The Velveteen Rabbit	The Velveteen Rabbit	Margery Williams	20c	British
The Wonderful Wizard of Oz	The Wonderful Wizard of Oz	L. Frank Baum	20c	American
