record	quote	character	title	author	source_url	revision_id	retrieved_at
23	"That's some catch, that Catch-22," he observed. "It's the best there is," Doc Daneeka agreed.		Catch-22	Joseph Heller	https://en.wikiquote.org/w/index.php?title=Catch-22&oldid=3791053	3791053	2026-08-27T11:33:32+00:00
24	After all, what's a life, anyway? We're born, we live a little while, we die.		Charlotte's Web	E. B. White	https://en.wikiquote.org/w/index.php?title=Charlotte's_Web_(book)&oldid=2584031	2584031	2026-08-27T11:34:16+00:00
25	Books don't offer real escape but they can stop a mind scratching itself raw.		Cloud Atlas	David Mitchell	https://en.wikiquote.org/w/index.php?title=Cloud_Atlas_(novel)&oldid=3941785	3941785	2026-08-27T11:33:21+00:00
26	To go wrong in one's own way is better than to go right in someone else's.		Crime and Punishment	Fyodor Dostoevsky	https://en.wikiquote.org/w/index.php?title=Crime_and_Punishment&oldid=3952642	3952642	2026-08-27T11:33:39+00:00
27	Annual income twenty pounds, annual expenditure nineteen nineteen and six, result happiness.		David Copperfield	Charles Dickens	https://en.wikiquote.org/w/index.php?title=David_Copperfield&oldid=3940782	3940782	2026-08-27T11:33:17+00:00
28	I frequently see literary men; I'm on a very friendly footing with Pushkin.		Dead Souls	Nikolai Gogol	https://en.wikiquote.org/w/index.php?title=Nikolai_Gogol&oldid=3929350	3929350	2026-08-27T11:33:43+00:00
29	Attention, attention must be finally paid to such a person.		Death of a Salesman	Arthur Miller	https://en.wikiquote.org/w/index.php?title=Arthur_Miller&oldid=3890238	3890238	2026-08-27T11:34:09+00:00
30	Come, Death, and snatch me from disgrace.		Disgrace	J. M. Coetzee	https://en.wikiquote.org/w/index.php?title=Disgrace&oldid=2655455	2655455	2026-08-27T11:33:39+00:00
31	Not the aesthetic capacity but the capacity for indignation.		Do Androids Dream of Electric Sheep?	Philip K. Dick	https://en.wikiquote.org/w/index.php?title=Philip_K._Dick&oldid=3992844	3992844	2026-08-27T11:33:36+00:00
32	Finally, from so little sleeping and so much reading, his brain dried up and he went completely out of his mind.		Don Quixote	Miguel de Cervantes	https://en.wikiquote.org/w/index.php?title=Miguel_de_Cervantes&oldid=3976497	3976497	2026-08-27T11:33:39+00:00
33	I must not fear. Fear is the mind-killer. Fear is the little-death that brings total obliteration...		Dune	Frank Herbert	https://en.wikiquote.org/w/index.php?title=Dune&oldid=3914593	3914593	2026-08-27T11:33:32+00:00
34	It is always attacked and never destroyed — because Thou mayest.		East of Eden	John Steinbeck	https://en.wikiquote.org/w/index.php?title=East_of_Eden_(novel)&oldid=3898220	3898220	2026-08-27T11:33:28+00:00
35	One half of the world cannot understand the pleasures of the other.		Emma	Jane Austen	https://en.wikiquote.org/w/index.php?title=Emma_(novel)&oldid=3952621	3952621	2026-08-27T11:28:58+00:00
36	“The essence of training is to allow error without consequence.”		Ender's Game	Orson Scott Card	https://en.wikiquote.org/w/index.php?title=Ender's_Game&oldid=3881768	3881768	2026-08-27T11:33:36+00:00
37	Everyone must leave something behind when he dies, my grandfather said.		Fahrenheit 451	Ray Bradbury	https://en.wikiquote.org/w/index.php?title=Fahrenheit_451&oldid=3940352	3940352	2026-08-27T11:33:28+00:00
38	You are not a beautiful and unique snowflake.		Fight Club	Chuck Palahniuk	https://en.wikiquote.org/w/index.php?title=Fight_Club_(novel)&oldid=3737377	3737377	2026-08-27T11:33:36+00:00
39	The people who have brains and courage come through and the ones who haven't are winnowed out.		Gone with the Wind	Margaret Mitchell	https://en.wikiquote.org/w/index.php?title=Gone_with_the_Wind_(novel)&oldid=3336302	3336302	2026-08-27T11:34:09+00:00
40	It wasn't a dark and stormy night. It should have been, but that's the weather for you.		Good Omens	Terry Pratchett and Neil Gaiman	https://en.wikiquote.org/w/index.php?title=Good_Omens&oldid=3887523	3887523	2026-08-27T11:33:25+00:00
41	Pip, dear old chap, life is made of ever so many partings welded together...		Great Expectations	Charles Dickens	https://en.wikiquote.org/w/index.php?title=Great_Expectations&oldid=3952639	3952639	2026-08-27T11:33:17+00:00
42	I wrote for their amendment, and not their approbation.		Gulliver's Travels	Jonathan Swift	https://en.wikiquote.org/w/index.php?title=Gulliver's_Travels&oldid=3942835	3942835	2026-08-27T11:33:21+00:00
43	This was love: a string of coincidences that gathered significance and became miracles.		Half of a Yellow Sun	Chimamanda Ngozi Adichie	https://en.wikiquote.org/w/index.php?title=Half_of_a_Yellow_Sun&oldid=3553033	3553033	2026-08-27T11:33:39+00:00
44	Hamlet Then I would you were so honest a man.		Hamlet	William Shakespeare	https://en.wikiquote.org/w/index.php?title=Hamlet&oldid=3952082	3952082	2026-08-27T11:33:51+00:00
45	To the well-organized mind, death is but the next great adventure.		Harry Potter and the Philosopher's Stone	J. K. Rowling	https://en.wikiquote.org/w/index.php?title=Harry_Potter_and_the_Philosopher's_Stone&oldid=3717956	3717956	2026-08-27T11:33:25+00:00
46	I solemnly swear that I am up to no good.		Harry Potter and the Prisoner of Azkaban	J. K. Rowling	https://en.wikiquote.org/w/index.php?title=Harry_Potter_and_the_Prisoner_of_Azkaban&oldid=3887534	3887534	2026-08-27T11:33:25+00:00
47	I don't like work — no man does — but I like what is in work — the chance to find yourself.		Heart of Darkness	Joseph Conrad	https://en.wikiquote.org/w/index.php?title=Heart_of_Darkness&oldid=3987647	3987647	2026-08-27T11:33:17+00:00
48	Human beings can’t see anything without wanting to destroy it, Lyra. That’s original sin.		His Dark Materials	Philip Pullman	https://en.wikiquote.org/w/index.php?title=Philip_Pullman&oldid=3980081	3980081	2026-08-27T11:33:25+00:00
49	It's not my fault if I live and breathe, Eat, drink, sleep and put on clothes.		If This Is a Man	Primo Levi	https://en.wikiquote.org/w/index.php?title=Primo_Levi&oldid=3907842	3907842	2026-08-27T11:33:47+00:00
50	I am invisible, understand, simply because people refuse to see me.		Invisible Man	Ralph Ellison	https://en.wikiquote.org/w/index.php?title=Ralph_Ellison&oldid=3632470	3632470	2026-08-27T11:33:32+00:00
51	She had never dreamed there could be so much pain in a life when there was nothing physically wrong.		It	Stephen King	https://en.wikiquote.org/w/index.php?title=Stephen_King&oldid=3890651	3890651	2026-08-27T11:33:36+00:00
52	Conventionality is not morality. Self-righteousness is not religion. To attack the first is not to assail the last.		Jane Eyre	Charlotte Brontë	https://en.wikiquote.org/w/index.php?title=Charlotte_Brontë&oldid=3945880	3945880	2026-08-27T11:28:59+00:00
53	Sometimes fate is like a small sandstorm that keeps changing directions.		Kafka on the Shore	Haruki Murakami	https://en.wikiquote.org/w/index.php?title=Kafka_on_the_Shore&oldid=3780267	3780267	2026-08-27T11:33:47+00:00
54	Truth's a dog must to kennel; he must be whipped out, when Lady the brach may stand by the fire and stink.		King Lear	William Shakespeare	https://en.wikiquote.org/w/index.php?title=King_Lear&oldid=3952631	3952631	2026-08-27T11:33:51+00:00
55	Seeing, hearing, feeling, are miracles, and each part and tag of me is a miracle.		Leaves of Grass	Walt Whitman	https://en.wikiquote.org/w/index.php?title=Leaves_of_Grass&oldid=3985858	3985858	2026-08-27T11:34:09+00:00
56	I must say a word about fear. It is life's only true opponent. Only fear can defeat life.		Life of Pi	Yann Martel	https://en.wikiquote.org/w/index.php?title=Yann_Martel&oldid=3915533	3915533	2026-08-27T11:33:36+00:00
57	I'm not afraid of storms, for I'm learning how to sail my ship.		Little Women	Louisa May Alcott	https://en.wikiquote.org/w/index.php?title=Louisa_May_Alcott&oldid=3957259	3957259	2026-08-27T11:33:28+00:00
58	Lolita, light of my life, fire of my loins. My sin, my soul.		Lolita	Vladimir Nabokov	https://en.wikiquote.org/w/index.php?title=Lolita&oldid=3952644	3952644	2026-08-27T11:33:32+00:00
59	There is nothing more enticing, disenchanting, and enslaving than the life at sea.		Lord Jim	Joseph Conrad	https://en.wikiquote.org/w/index.php?title=Lord_Jim&oldid=3547629	3547629	2026-08-27T11:33:17+00:00
60	It seems to me that we do live in two worlds.		Lord of the Flies	William Golding	https://en.wikiquote.org/w/index.php?title=William_Golding&oldid=3915239	3915239	2026-08-27T11:33:17+00:00
61	Florentino Ariza pensaba que sólo el terror peodía inducir a semejante indignidad.		Love in the Time of Cholera	Gabriel García Márquez	https://en.wikiquote.org/w/index.php?title=Love_in_the_Time_of_Cholera&oldid=3685969	3685969	2026-08-27T11:33:39+00:00
62	Stand not upon the order of your going, But go at once.		Macbeth	William Shakespeare	https://en.wikiquote.org/w/index.php?title=Macbeth&oldid=3898665	3898665	2026-08-27T11:33:51+00:00
63	We shouldn't maltreat our idols: the gilt comes off on our hands.		Madame Bovary	Gustave Flaubert	https://en.wikiquote.org/w/index.php?title=Madame_Bovary&oldid=3922710	3922710	2026-08-27T11:33:43+00:00
64	There are two tragedies in life. One is not to get your heart's desire. The other is to get it.		Man and Superman	George Bernard Shaw	https://en.wikiquote.org/w/index.php?title=Man_and_Superman&oldid=3721599	3721599	2026-08-27T11:34:09+00:00
65	It is not down on any map; true places never are.		Moby-Dick	Herman Melville	https://en.wikiquote.org/w/index.php?title=Moby-Dick&oldid=3962897	3962897	2026-08-27T11:33:28+00:00
66	History always has a few tricks up its frayed sleeve. It's been around a long time.		Mort	Terry Pratchett	https://en.wikiquote.org/w/index.php?title=Mort&oldid=3551286	3551286	2026-08-27T11:33:25+00:00
67	The sky above the port was the color of television, tuned to a dead channel.		Neuromancer	William Gibson	https://en.wikiquote.org/w/index.php?title=Sprawl_trilogy&oldid=3956712	3956712	2026-08-27T11:33:36+00:00
68	It was a bright cold day in April, and the clocks were striking thirteen.		Nineteen Eighty-Four	George Orwell	https://en.wikiquote.org/w/index.php?title=Nineteen_Eighty-Four&oldid=3949875	3949875	2026-08-27T11:28:56+00:00
69	Books ain't no good. A guy needs somebody — to be near him. A guy goes nuts if he ain't got nobody.		Of Mice and Men	John Steinbeck	https://en.wikiquote.org/w/index.php?title=John_Steinbeck&oldid=3964388	3964388	2026-08-27T11:33:28+00:00
70	Dead men never repent; dead men never bring awkward stories to light.		Oliver Twist	Charles Dickens	https://en.wikiquote.org/w/index.php?title=Oliver_Twist&oldid=3940388	3940388	2026-08-27T11:33:17+00:00
71	Our battered suitcases were piled on the sidewalk again; we had longer ways to go. But no matter, the road is life.		On the Road	Jack Kerouac	https://en.wikiquote.org/w/index.php?title=On_the_Road&oldid=3915216	3915216	2026-08-27T11:33:32+00:00
72	The world was so recent that many things lacked names, and in order to indicate them it was necessary to point.		One Hundred Years of Solitude	Gabriel García Márquez	https://en.wikiquote.org/w/index.php?title=One_Hundred_Years_of_Solitude&oldid=3863702	3863702	2026-08-27T11:33:39+00:00
73	Why then drag in such irrelevant matters as wasted dollars and power politics?		Pale Fire	Vladimir Nabokov	https://en.wikiquote.org/w/index.php?title=Vladimir_Nabokov&oldid=3995255	3995255	2026-08-27T11:33:32+00:00
74	The mind is its own place, and in itself Can make a heav'n of hell, a hell of heav'n.		Paradise Lost	John Milton	https://en.wikiquote.org/w/index.php?title=Paradise_Lost&oldid=3943843	3943843	2026-08-27T11:34:09+00:00
75	The State is the curse of the individual.		Peer Gynt	Henrik Ibsen	https://en.wikiquote.org/w/index.php?title=Henrik_Ibsen&oldid=3682496	3682496	2026-08-27T11:34:09+00:00
76	To die will be an awfully big adventure.		Peter Pan	J. M. Barrie	https://en.wikiquote.org/w/index.php?title=Peter_Pan&oldid=3952628	3952628	2026-08-27T11:33:21+00:00
77	She is tolerable; but not handsome enough to tempt me.		Pride and Prejudice	Jane Austen	https://en.wikiquote.org/w/index.php?title=Pride_and_Prejudice&oldid=3940795	3940795	2026-08-27T11:28:57+00:00
78	Titles are shadows, crowns are empty things, The good of subjects is the end of kings.		Robinson Crusoe	Daniel Defoe	https://en.wikiquote.org/w/index.php?title=Daniel_Defoe&oldid=3935737	3935737	2026-08-27T11:33:21+00:00
79	Nay, sit, nay, sit, good cousin Capulet; For you and I are past our dancing days.		Romeo and Juliet	William Shakespeare	https://en.wikiquote.org/w/index.php?title=Romeo_and_Juliet&oldid=3961930	3961930	2026-08-27T11:33:51+00:00
80	Know your own happiness. You want nothing but patience; or give it a more fascinating name: call it hope.		Sense and Sensibility	Jane Austen	https://en.wikiquote.org/w/index.php?title=Sense_and_Sensibility&oldid=3952623	3952623	2026-08-27T11:28:58+00:00
81	Listen: Billy Pilgrim has come unstuck in time.		Slaughterhouse-Five	Kurt Vonnegut	https://en.wikiquote.org/w/index.php?title=Slaughterhouse-Five&oldid=3732011	3732011	2026-08-27T11:33:32+00:00
82	Every organization needs at least one person who knows what’s going on, and why it’s happening, and who’s doing it.		Small Gods	Terry Pratchett	https://en.wikiquote.org/w/index.php?title=Discworld&oldid=3952185	3952185	2026-08-27T11:33:25+00:00
83	When you are wrestling for possession of a sword, the man with the handle always wins.		Snow Crash	Neal Stephenson	https://en.wikiquote.org/w/index.php?title=Snow_Crash&oldid=3499277	3499277	2026-08-27T11:33:36+00:00
84	Solitude is independence. It had been my wish and with the years I had attained it. It was cold.		Steppenwolf	Hermann Hesse	https://en.wikiquote.org/w/index.php?title=Steppenwolf&oldid=3665502	3665502	2026-08-27T11:33:47+00:00
85	Love is that condition in which the happiness of another person is essential to your own.		Stranger in a Strange Land	Robert A. Heinlein	https://en.wikiquote.org/w/index.php?title=Stranger_in_a_Strange_Land&oldid=3831774	3831774	2026-08-27T11:33:32+00:00
86	The Tao that can be described is not the enduring and unchanging Tao.		Tao Te Ching	Laozi	https://en.wikiquote.org/w/index.php?title=Tao_Te_Ching&oldid=3865813	3865813	2026-08-27T11:33:51+00:00
87	I don’t ask you to love me always like this, but I ask you to remember.		Tender Is the Night	F. Scott Fitzgerald	https://en.wikiquote.org/w/index.php?title=Tender_is_the_Night&oldid=3923992	3923992	2026-08-27T11:33:28+00:00
88	I studied a minute, sort of holding my breath, and then says to myself, "All right, then, I'll go to hell."		The Adventures of Huckleberry Finn	Mark Twain	https://en.wikiquote.org/w/index.php?title=Mark_Twain&oldid=3992852	3992852	2026-08-27T11:33:28+00:00
89	He was not the Model Boy of the village. He knew the model boy very well though—and loathed him.		The Adventures of Tom Sawyer	Mark Twain	https://en.wikiquote.org/w/index.php?title=The_Adventures_of_Tom_Sawyer&oldid=3941053	3941053	2026-08-27T11:33:28+00:00
90	When you want something, all the universe conspires in helping you to achieve it.		The Alchemist	Paulo Coelho	https://en.wikiquote.org/w/index.php?title=The_Alchemist_(novel)&oldid=3940074	3940074	2026-08-27T11:33:51+00:00
91	To subdue the enemy without fighting is the acme of skill.		The Art of War	Sun Tzu	https://en.wikiquote.org/w/index.php?title=Sun_Tzu&oldid=3950339	3950339	2026-08-27T11:33:51+00:00
92	I thought how strange it had never occurred to me before that I was only purely happy until I was nine years old.		The Bell Jar	Sylvia Plath	https://en.wikiquote.org/w/index.php?title=Sylvia_Plath&oldid=3943370	3943370	2026-08-27T11:33:32+00:00
93	Here is a small fact: You are going to die.		The Book Thief	Markus Zusak	https://en.wikiquote.org/w/index.php?title=The_Book_Thief&oldid=3132363	3132363	2026-08-27T11:33:36+00:00
94	He was a verray, parfit gentil knyght. He was a very perfect, gentle knight.		The Canterbury Tales	Geoffrey Chaucer	https://en.wikiquote.org/w/index.php?title=The_Canterbury_Tales&oldid=3981531	3981531	2026-08-27T11:34:09+00:00
95	Don't ever tell anybody anything. If you do, you start missing everybody.		The Catcher in the Rye	J. D. Salinger	https://en.wikiquote.org/w/index.php?title=The_Catcher_in_the_Rye&oldid=3643918	3643918	2026-08-27T11:33:28+00:00
96	Once a King or Queen in Narnia, always a King or Queen.		The Chronicles of Narnia	C. S. Lewis	https://en.wikiquote.org/w/index.php?title=The_Chronicles_of_Narnia&oldid=3625229	3625229	2026-08-27T11:33:25+00:00
97	We must have felt what it is to die, Morrel, that we may appreciate the enjoyments of life.		The Count of Monte Cristo	Alexandre Dumas	https://en.wikiquote.org/w/index.php?title=The_Count_of_Monte_Cristo&oldid=3941068	3941068	2026-08-27T11:33:43+00:00
98	I keep my ideals, because in spite of everything I still believe that people are really good at heart.		The Diary of a Young Girl	Anne Frank	https://en.wikiquote.org/w/index.php?title=Anne_Frank&oldid=3896685	3896685	2026-08-27T11:33:47+00:00
99	He brings this across the bridge between the dream-time and the world-time.		The Dispossessed	Ursula K. Le Guin	https://en.wikiquote.org/w/index.php?title=Ursula_K._Le_Guin&oldid=3932563	3932563	2026-08-27T11:33:36+00:00
100	Per me si va ne la città dolente, per me si va ne l'etterno dolore, per me si va tra la perduta gente.		The Divine Comedy	Dante Alighieri	https://en.wikiquote.org/w/index.php?title=Divine_Comedy&oldid=3961693	3961693	2026-08-27T11:33:47+00:00
101	We are the real countries, not the boundaries drawn on maps with the names of powerful men.		The English Patient	Michael Ondaatje	https://en.wikiquote.org/w/index.php?title=The_English_Patient&oldid=3893478	3893478	2026-08-27T11:33:39+00:00
102	I fell in love with him the way you fall asleep: Slowly, and then all at once.		The Fault in Our Stars	John Green	https://en.wikiquote.org/w/index.php?title=The_Fault_in_Our_Stars&oldid=3938198	3938198	2026-08-27T11:34:13+00:00
103	The worst part of holding the memories is not the pain. It's the loneliness of it. Memories need to be shared.		The Giver	Lois Lowry	https://en.wikiquote.org/w/index.php?title=The_Giver&oldid=3889227	3889227	2026-08-27T11:34:16+00:00
104	They considered their Games a path from Becoming to Being, from potentiality to reality.		The Glass Bead Game	Hermann Hesse	https://en.wikiquote.org/w/index.php?title=The_Glass_Bead_Game&oldid=3054916	3054916	2026-08-27T11:33:47+00:00
105	Boundaries blur as tapioca fences take root and bloom.		The God of Small Things	Arundhati Roy	https://en.wikiquote.org/w/index.php?title=Arundhati_Roy&oldid=3635916	3635916	2026-08-27T11:33:51+00:00
106	In the souls of the people the grapes of wrath are filling and growing heavy, growing heavy for the vintage.		The Grapes of Wrath	John Steinbeck	https://en.wikiquote.org/w/index.php?title=The_Grapes_of_Wrath&oldid=3809001	3809001	2026-08-27T11:33:28+00:00
107	Eckleburg, which had just emerged, pale and enormous, from the dissolving night.		The Great Gatsby	F. Scott Fitzgerald	https://en.wikiquote.org/w/index.php?title=The_Great_Gatsby&oldid=3952643	3952643	2026-08-27T11:29:05+00:00
108	Apathetic bloody planet, I've no sympathy at all.		The Hitchhiker's Guide to the Galaxy	Douglas Adams	https://en.wikiquote.org/w/index.php?title=The_Hitchhiker's_Guide_to_the_Galaxy&oldid=3883300	3883300	2026-08-27T11:33:25+00:00
109	Thief, thief, thief! Baggins! We hates it, we hates it, we hates it for ever!		The Hobbit	J. R. R. Tolkien	https://en.wikiquote.org/w/index.php?title=The_Hobbit&oldid=3674093	3674093	2026-08-27T11:33:25+00:00
110	Quand on voulut le détacher du squelette qu'il embrassait, il tomba en poussière.		The Hunchback of Notre-Dame	Victor Hugo	https://en.wikiquote.org/w/index.php?title=The_Hunchback_of_Notre-Dame&oldid=3916259	3916259	2026-08-27T11:33:43+00:00
111	I wish I could freeze this moment, right here, right now, and live in it forever.		The Hunger Games	Suzanne Collins	https://en.wikiquote.org/w/index.php?title=Suzanne_Collins&oldid=3877429	3877429	2026-08-27T11:34:16+00:00
112	A man's heart is a wretched, wretched thing.		The Kite Runner	Khaled Hosseini	https://en.wikiquote.org/w/index.php?title=Khaled_Hosseini&oldid=3867286	3867286	2026-08-27T11:29:10+00:00
113	Things will have to change in order that they remain the same.		The Leopard	Giuseppe Tomasi di Lampedusa	https://en.wikiquote.org/w/index.php?title=The_Leopard&oldid=2853216	2853216	2026-08-27T11:33:47+00:00
114	Though the Witch knew the Deep Magic, there is a magic deeper still which she did not know...		The Lion, the Witch and the Wardrobe	C. S. Lewis	https://en.wikiquote.org/w/index.php?title=The_Chronicles_of_Narnia&oldid=3625229	3625229	2026-08-27T11:33:25+00:00
115	It is only with the heart that one can see rightly; What is essential is invisible to the eye.		The Little Prince	Antoine de Saint-Exupéry	https://en.wikiquote.org/w/index.php?title=The_Little_Prince&oldid=3968326	3968326	2026-08-27T11:33:43+00:00
116	Endlessly imitated, it never has been surpassed.		The Lord of the Rings	J. R. R. Tolkien	https://en.wikiquote.org/w/index.php?title=The_Lord_of_the_Rings&oldid=3981483	3981483	2026-08-27T11:33:25+00:00
117	We Earth Men have a talent for ruining big, beautiful things.		The Martian Chronicles	Ray Bradbury	https://en.wikiquote.org/w/index.php?title=The_Martian_Chronicles&oldid=3798455	3798455	2026-08-27T11:33:28+00:00
118	I am the Water of Life, Out of myself I grow. The more you drink of me, The fuller I will flow.		The Neverending Story	Michael Ende	https://en.wikiquote.org/w/index.php?title=The_Neverending_Story&oldid=3849301	3849301	2026-08-27T11:33:47+00:00
119	Don't look for gods in men; you'll always be disappointed.		The Odyssey	Homer	https://en.wikiquote.org/w/index.php?title=The_Odyssey_(2026_film)&oldid=3993920	3993920	2026-08-27T11:33:51+00:00
120	"Castor and Pollux blow me to Bermuda!" he exclaimed, and immediately vanished with a frightful roar.		The Once and Future King	T. H. White	https://en.wikiquote.org/w/index.php?title=The_Once_and_Future_King&oldid=3677527	3677527	2026-08-27T11:33:25+00:00
121	“Charlie, we accept the love we think we deserve.”		The Perks of Being a Wallflower	Stephen Chbosky	https://en.wikiquote.org/w/index.php?title=The_Perks_of_Being_a_Wallflower&oldid=3000107	3000107	2026-08-27T11:34:13+00:00
122	Expect everything, I always say, and the unexpected never happens.		The Phantom Tollbooth	Norton Juster	https://en.wikiquote.org/w/index.php?title=The_Phantom_Tollbooth&oldid=2914778	2914778	2026-08-27T11:34:16+00:00
123	There is no such thing as a moral or an immoral book. Books are well written, or badly written. That is all.		The Picture of Dorian Gray	Oscar Wilde	https://en.wikiquote.org/w/index.php?title=The_Picture_of_Dorian_Gray&oldid=3952625	3952625	2026-08-27T11:33:17+00:00
124	The wrongdoing of one generation lives into the successive ones...		The Scarlet Letter	Nathaniel Hawthorne	https://en.wikiquote.org/w/index.php?title=Nathaniel_Hawthorne&oldid=3976735	3976735	2026-08-27T11:33:28+00:00
125	If you look the right way, you can see that the whole world is a garden.		The Secret Garden	Frances Hodgson Burnett	https://en.wikiquote.org/w/index.php?title=The_Secret_Garden_(1993_film)&oldid=3893883	3893883	2026-08-27T11:34:13+00:00
126	Few things leave a deeper mark on a reader than the first book that finds its way into his heart.		The Shadow of the Wind	Carlos Ruiz Zafón	https://en.wikiquote.org/w/index.php?title=Carlos_Ruiz_Zafón&oldid=3364149	3364149	2026-08-27T11:33:39+00:00
127	I am indeed but a wanderer, a pilgrim on earth. But are you anything more?		The Sorrows of Young Werther	Johann Wolfgang von Goethe	https://en.wikiquote.org/w/index.php?title=The_Sorrows_of_Young_Werther&oldid=3572996	3572996	2026-08-27T11:33:47+00:00
128	The fuses were not the same as the ones Trash had rigged to the fuel trucks, but they were very similar.		The Stand	Stephen King	https://en.wikiquote.org/w/index.php?title=Stephen_King&oldid=3890651	3890651	2026-08-27T11:33:36+00:00
129	I have finally realized how rarely you will find a flawless woman, one who is simply perfect.		The Tale of Genji	Murasaki Shikibu	https://en.wikiquote.org/w/index.php?title=Murasaki_Shikibu&oldid=3603307	3603307	2026-08-27T11:33:47+00:00
